postal_code,lat_long
249691.0,"1.30392778337539,103.828770248549"
258709.0,"1.31826157961172,103.830352987178"
358262.0,"1.34490549467176,103.867942309702"
417104.0,"1.32189602855264,103.909352749897"
428104.0,"1.31297420916757,103.903253194597"
259555.0,"1.32120450199924,103.821565541132"
428109.0,"1.31232804035988,103.903812210573"
118853.0,"1.28122139862594,103.785348226184"
308172.0,"1.32411334495333,103.849040669227"
427701.0,"1.30504331735643,103.906094265269"
416817.0,"1.31995634032593,103.911742980787"
769468.0,"1.44408924429677,103.825470600082"
219757.0,"1.31447986255004,103.848499199492"
288415.0,"1.32809614767202,103.81198826246"
423936.0,"1.3064408227282,103.910062418412"
309307.0,"1.31675903918365,103.839662106935"
438789.0,"1.3084842453717,103.898495041086"
418936.0,"1.31999864551861,103.912136345882"
258343.0,"1.30913347539801,103.827726058096"
417659.0,"1.32831187101076,103.912674237605"
549010.0,"1.36001603205548,103.87477128837"
266224.0,"1.31591024154147,103.803764384395"
328784.0,"1.326118367553,103.853496019619"
329602.0,"1.32751838640442,103.849853998922"
416905.0,"1.31966969295307,103.910261197479"
534163.0,"1.35632310011079,103.880402296473"
428268.0,"1.30708432855045,103.914277900233"
428094.0,"1.3120066226844,103.90105908519"
387866.0,"1.31554107907724,103.890458266408"
546290.0,"1.36832364019818,103.882166255455"
439275.0,"1.30868052611462,103.895038589522"
507009.0,"1.35941809852708,103.965393923725"
679035.0,"1.36392546669843,103.768843764834"
359450.0,Not Found
359426.0,"1.34443842966792,103.8675267343"
399936.0,"1.30637270876178,103.88708549006"
259548.0,"1.32102569890443,103.822172846509"
329420.0,Not Found
439444.0,"1.3125313169466,103.89458179066"
329417.0,Not Found
425236.0,"1.31005783724773,103.91548310029"
436884.0,"1.29881006027302,103.884350279556"
278547.0,"1.31176940658246,103.801709961483"
328644.0,"1.32408289110494,103.85062927516"
329111.0,"1.32789799979738,103.849310947037"
238876.0,"1.30717887298465,103.828469994324"
387982.0,"1.31514147457982,103.888042831488"
416541.0,Not Found
417777.0,"1.31907103004917,103.906727650036"
309461.0,"1.3162773675544,103.845724040655"
309459.0,"1.31612341185444,103.845518779011"
309467.0,Not Found
239563.0,Not Found
239856.0,Not Found
239855.0,"1.29884647201804,103.837351959315"
329137.0,"1.32761026033247,103.847605847436"
